,,,,,,,,,,,,,,,,,,,,,,,
Janeiro,,Fevereiro,,Março,,Abril,,Maio,,Junho,,Julho,,Agosto,,Setembro,,Outubro,,Novembro,,Dezembro,
"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 113.760,42",,"R$ 111.432,49",
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,"R$ 8.805,75"
2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,"R$ 484,95"
3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,"R$ 13.594,10",3,"R$ 3.261,22"
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,"R$ 2.046,63",4,"R$ 5.656,86"
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,"R$ 2.936,43",5,"R$ 2.135,76"
6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,"R$ 1.817,49",6,
7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,"R$ 1.308,16",7,"R$ 1.265,11"
8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,"R$ 739,92",8,"R$ 4.319,45"
9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,"R$ 7.089,83"
10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,"R$ 6.053,09",10,"R$ 6.007,55"
11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,"R$ 9.266,56",11,"R$ 3.392,09"
12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,"R$ 1.639,91",12,"R$ 918,99"
13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13,"R$ 5.041,23",13,"R$ 4.563,94"
14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,"R$ 2.609,51",14,
15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,"R$ 4.513,76",15,"R$ 7.198,26"
16,,16,,16,,16,,16,,16,,16,,16,,16,,16,,16,,16,"R$ 3.655,34"
17,,17,,17,,17,,17,,17,,17,,17,,17,,17,,17,"R$ 3.049,54",17,"R$ 817,66"
18,,18,,18,,18,,18,,18,,18,,18,,18,,18,,18,"R$ 2.643,24",18,"R$ 1.624,80"
19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,"R$ 11.519,81",19,"R$ 5.888,82"
20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,"R$ 1.451,52",20,
21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,"R$ 5.638,03",21,"R$ 2.050,91"
22,,22,,22,,22,,22,,22,,22,,22,,22,,22,,22,"R$ 944,10",22,"R$ 7.133,91"
23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,"R$ 2.969,79",23,"R$ 3.759,99"
24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,"R$ 9.038,09",24,"R$ 6.441,17"
25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,"R$ 9.466,01",25,"R$ 7.436,08"
26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,"R$ 2.179,00",26,"R$ 2.100,87"
27,,27,,27,,27,,27,,27,,27,,27,,27,,27,,27,"R$ 5.995,89",27,"R$ 2.265,96"
28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28,"R$ 7.298,61",28,"R$ 2.252,15"
29,,29,,29,,29,,29,,29,,29,,29,,29,,29,,29,,29,"R$ 9.626,83"
30,,,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,"R$ 1.278,24"
31,,,,31,,,,31,,,,31,,31,,,,31,,,,31,
