,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro,,,,fevereiro,,,,março,,,,abril,,,,maio,,,,junho,,,,julho,,,,agosto,,,,setembro,,,,outubro,,,,novembro,,,,dezembro,,,
Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto,Data,venda,recebido,em aberto
,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 4.770,49","R$ 0,00","R$ 4.770,49",,"R$ 28.176,97","R$ 32.214,58","-R$ 4.037,61"
1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,"R$ 4.685,50",,,1,"R$ 26.556,00","R$ 1.320,20",
2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,"R$ 1.389,78",
3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,"R$ 1.934,12",
4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,"R$ 603,76",
5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,"R$ 4.257,87",
6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,"R$ 1.277,24",
7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,
8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,"R$ 2.136,89",
9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,"R$ 2.384,92",
10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,"R$ 1.474,93",
11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,"R$ 70,00","R$ 1.018,20",
12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,"R$ 97,50","R$ 855,87",
13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,"R$ 1.569,26",
14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,"R$ 36,66",,
15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,"R$ 706,62",
16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,
17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,"R$ 84,99",,,17,"R$ 84,99","R$ 2.227,61",
18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,"R$ 1.765,78",
19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,"R$ 1.045,75",
20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,"R$ 490,37",
21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,"R$ 272,30",
22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,"R$ 50,00","R$ 1.987,89",
23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,"R$ 1.245,39",
24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,
25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,"R$ 220,78",,
26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,"R$ 123,33","R$ 864,00",
27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,"R$ 379,99","R$ 187,50",
28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,
29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,"R$ 251,49","R$ 1.198,33",
30,,,,,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,
31,,,,,,,,31,,,,,,,,31,,,,,,,,31,,,,31,,,,,,,,31,,,,,,,,31,"R$ 306,23",,
