09/12/2025,Modalidade,10/12/2025,Modalidade,11/12/2025,Modalidade,12/12/2025,Modalidade,13/12/2025,Modalidade,15/12/2025,Modalidade,16/12/2025,Modalidade,17/12/2025,Modalidade,18/12/2025,Modalidade,19/12/2025,Modalidade,20/12/2025,Modalidade,21/12/2025,Modalidade,22/12/2025,Modalidade,23/12/2025,Modalidade,24/12/2025,Modalidade,26/12/2025,Modalidade,27/12/2025,Modalidade,29/12/2025,Modalidade,30/12/2025,Modalidade,31/12/2025,Modalidade
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 344,99",Parcelado 2 a 4 Sicredi,"R$ 80,99",Débito Sicredi,"R$ 236,77",Recebimento Crediario,"R$ 250,00",Dinheiro,"R$ 18,00",Dinheiro,"R$ 55,00",Recebimento Crediario,"R$ 129,99",Parcelado 2 a 4 Sicredi,"R$ 820,00",Recebimento Crediario,"R$ 89,99",Crédito Av Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 143,99",Débito Sicredi,"R$ 177,00",Recebimento Crediario,"R$ 99,99",Pix Sicredi,"R$ 4,50",Débito Sicredi,"R$ 200,00",Recebimento Crediario,"R$ 300,00",Recebimento Crediario,"R$ 261,00",Débito Sicredi,"R$ 18,00",Dinheiro,"R$ 102,50",Recebimento Crediario,"R$ 45,00",Dinheiro
"R$ 382,50",Dinheiro,"R$ 80,00",Recebimento Crediario,"R$ 99,99",Crédito Av Sicredi,"R$ 90,00",Pix Sicredi,"R$ 80,99",Crédito Av Sicredi,"R$ 116,99",Pix Sicredi,"R$ 121,50",Pix Sicredi,"R$ 310,00",Recebimento Crediario,"R$ 155,00",Recebimento Crediario,"R$ 239,99",Parcelado 2 a 4 Sicredi,"R$ 75,00",Recebimento Crediario,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 135,00",Débito Sicredi,"R$ 149,40",Pix Sicredi,"R$ 288,00",Pix Sicredi,"R$ 134,99",Débito Sicredi,"R$ 170,99",Débito Sicredi,"R$ 135,00",Dinheiro,"R$ 139,50",Crédito Av Sicredi,"R$ 85,00",Recebimento Crediario
"R$ 269,98",Crediário,"R$ 107,99",Crédito Av Sicredi,"R$ 86,10",Recebimento Crediario,"R$ 189,99",Crediário,"R$ 80,99",Débito Sicredi,"R$ 252,00",Pix Sicredi,"R$ 99,00",Dinheiro,"R$ 198,00",Pix Sicredi,"R$ 847,28",Recebimento Crediario,"R$ 89,99",Parcelado 2 a 4 Sicredi,"R$ 152,99",Crédito Av Sicredi,"R$ 45,30",Recebimento Crediario,"R$ 140,00",Dinheiro,"R$ 90,00",Dinheiro,"R$ 18,00",Débito Sicredi,"R$ 274,50",Pix Sicredi,"R$ 36,00",Dinheiro,"R$ 126,00",Pix Sicredi,"R$ 81,67",Recebimento Crediario,"R$ 209,99",Parcelado 5 a 6 Sicredi
"R$ 100,00",Recebimento Crediario,"R$ 116,99",Débito Sicredi,"R$ 143,99",Crédito Av Sicredi,"R$ 70,00",Recebimento Crediario,"R$ 99,00",Dinheiro,"R$ 100,00",Recebimento Crediario,"R$ 50,00",Recebimento Crediario,"R$ 143,99",Crédito Av Sicredi,"R$ 89,99",Débito Sicredi,"R$ 242,99",Débito Sicredi,"R$ 125,99",Débito Sicredi,"R$ 214,99",Parcelado 2 a 4 Sicredi,"R$ 143,99",Débito Sicredi,"R$ 368,98",Débito Sicredi,"R$ 219,99",Parcelado 2 a 4 Sicredi,"R$ 49,50",Recebimento Crediario,"R$ 187,50",Recebimento Crediario,"R$ 80,99",Débito Sicredi,"R$ 35,00",Pix Sicredi,"R$ 200,00",Pix Sicredi
"R$ 100,00",Recebimento Crediario,"R$ 97,50",Recebimento Crediario,"R$ 377,98",Débito Sicredi,"R$ 187,37",Recebimento Crediario,"R$ 129,00",Recebimento Crediario,"R$ 99,90",Pix Sicredi,"R$ 206,99",Crédito Av Sicredi,"R$ 242,00",Dinheiro,"R$ 249,98",Parcelado 2 a 4 Sicredi,"R$ 134,99",Débito Sicredi,"R$ 179,99",Débito Sicredi,"R$ 50,00",Recebimento Crediario,"R$ 179,50",Recebimento Crediario,"R$ 125,99",Pix Sicredi,"R$ 430,00",Dinheiro,"R$ 83,00",Débito Sicredi,"R$ 116,99",Débito Sicredi,"R$ 119,99",Recebimento Crediario,"R$ 350,97",Débito Sicredi,"R$ 309,99",Parcelado 2 a 4 Sicredi
"R$ 224,00",Dinheiro,"R$ 50,00",Débito Sicredi,"R$ 178,99",Crédito Av Sicredi,"R$ 97,50",Recebimento Crediario,"R$ 69,00",Dinheiro,"R$ 260,00",Dinheiro,"R$ 154,00",Pix Sicredi,"R$ 239,99",BonusCred,"R$ 356,00",Parcelado 5 a 6 Sicredi,"R$ 177,30",Pix Sicredi,"R$ 332,98",Débito Sicredi,"R$ 162,00",Dinheiro,"R$ 188,90",Débito Sicredi,"R$ 206,99",Débito Sicredi,"R$ 328,48",Débito Sicredi,"R$ 149,50",Recebimento Crediario,"R$ 79,99",Pix Sicredi,"R$ 60,00",Crédito Av Sicredi,"R$ 80,99",Pix Sicredi,"R$ 89,99",Dinheiro
"R$ 150,00",Crediário,"R$ 80,99",Pix Sicredi,"R$ 385,97",Parcelado 2 a 4 Sicredi,"R$ 135,00",Pix Sicredi,"R$ 179,98",Crediário,"R$ 314,97",Pix Sicredi,"R$ 7,00",Dinheiro,"R$ 299,98",Parcelado 2 a 4 Sicredi,"R$ 99,99",Parcelado 2 a 4 Sicredi,"R$ 110,00",Débito Sicredi,"R$ 439,98",Parcelado 2 a 4 Sicredi,"R$ 251,98",Débito Sicredi,"R$ 85,50",Dinheiro,"R$ 170,99",Pix Sicredi,"R$ 243,00",Dinheiro,"R$ 205,00",Débito Sicredi,"R$ 81,00",Dinheiro,"R$ 205,04",Pix Sicredi,"R$ 80,00",Dinheiro,"R$ 153,00",Pix Sicredi
"R$ 225,00",Débito Sicredi,"R$ 64,00",Pix Sicredi,"R$ 144,00",Dinheiro,"R$ 269,97",Crediário,"R$ 233,98",Pix Sicredi,"R$ 10,00",Dinheiro,"R$ 129,99",Parcelado 2 a 4 Sicredi,"R$ 323,98",Crédito Av Sicredi,"R$ 125,99",Débito Sicredi,"R$ 80,99",Pix Sicredi,"R$ 179,90",Dinheiro,"R$ 80,99",Pix Sicredi,"R$ 50,00",Pix Sicredi,"R$ 109,99",Parcelado 2 a 4 Sicredi,"R$ 163,99",Pix Sicredi,"R$ 139,50",Dinheiro,"R$ 189,00",Pix Sicredi,"R$ 72,00",Dinheiro,"R$ 895,83",Recebimento Crediario,"R$ 69,99",Crédito Av Sicredi
"R$ 111,50",Dinheiro,"R$ 100,00",Dinheiro,"R$ 479,98",Parcelado 2 a 4 Sicredi,"R$ 152,99",Pix Sicredi,"R$ 80,99",Pix Sicredi,"R$ 107,99",Débito Sicredi,"R$ 170,99",Pix Sicredi,"R$ 135,00",Pix Sicredi,"R$ 80,99",Débito Sicredi,"R$ 80,99",Débito Sicredi,"R$ 124,37",Recebimento Crediario,"R$ 105,99",Parcelado 2 a 4 Sicredi,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 624,96",Parcelado 5 a 6 Sicredi,"R$ 350,97",Débito Sicredi,"R$ 22,50",Pix Sicredi,"R$ 40,00",Dinheiro,"R$ 47,50",Recebimento Crediario,"R$ 400,00",Pix Sicredi,"R$ 116,99",Débito Sicredi
