01/11/2025,Modalidade,03/11/2025,Modalidade,04/11/2025,Modalidade,05/11/2025,Modalidade,06/11/2025,Modalidade,07/11/2025,Modalidade,08/11/2025,Modalidade,10/11/2025,Modalidade,11/11/2025,Modalidade,12/11/2025,Modalidade,13/11/2025,Modalidade,14/11/2025,Modalidade,17/11/2025,Modalidade,18/11/2025,Modalidade,19/11/2025,Modalidade,21/11/2025,Modalidade,22/11/2025,Modalidade,24/11/2025,Modalidade,25/11/2025,Modalidade,26/11/2025,Modalidade,27/11/2025,Modalidade,29/11/2025,Modalidade,Dia 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 50,00",Dinheiro,"R$ 120,00",Recebimento Crediario,"R$ 106,98",Débito Sicredi,"R$ 225,00",Debito Sicoob,"R$ 137,69",Pix Sicredi,"R$ 200,00",Recebimento Crediario,"R$ 80,99",Debito Sicoob,"R$ 628,00",Recebimento Crediario,"R$ 115,00",Recebimento Crediario,"R$ 200,00",Dinheiro,"R$ 110,00",Recebimento Crediario,"R$ 150,00",Pix Sicredi,"R$ 117,00",Dinheiro,"R$ 67,50",Recebimento Crediario,"R$ 191,00",Recebimento Crediario,"R$ 374,97",Parcelado 5 a 6 Sicoob,"R$ 99,00",Crédito Av  Sicoob,"R$ 300,00",Recebimento Crediario,"R$ 102,50",Recebimento Crediario,"R$ 99,99",Parcelado 2 a 4 Sicoob,"R$ 80,00",Debito Sicoob,"R$ 67,50",Recebimento Crediario,
"R$ 545,00",Parcelado 2 a 4 Sicoob,"R$ 66,25",Recebimento Crediario,"R$ 148,50",Crédito Av  Sicoob,"R$ 33,00",Recebimento Crediario,"R$ 150,00",Recebimento Crediario,"R$ 70,00",Recebimento Crediario,"R$ 179,99",Crediário,"R$ 126,00",Recebimento Crediario,"R$ 99,00",Crédito Av  Sicoob,"R$ 297,00",Dinheiro,"R$ 189,99",Parcelado 2 a 4 Sicoob,"R$ 89,99",BonusCred,"R$ 360,00",Dinheiro,"R$ 217,50",Debito Sicoob,"R$ 251,99",Pix Sicoob,"R$ 459,97",BonusCred,"R$ 159,99",BonusCred,"R$ 135,00",Pix Sicredi,"R$ 312,00",Pix Sicredi,"R$ 53,99",Pix Sicoob,"R$ 80,00",Recebimento Crediario,"R$ 80,00",Recebimento Crediario,
"R$ 125,00",Dinheiro,"R$ 160,00",Recebimento Crediario,"R$ 148,50",Crédito Av  Sicoob,"R$ 42,00",Recebimento Crediario,"R$ 300,00",Recebimento Crediario,"R$ 117,50",Recebimento Crediario,"R$ 179,98",Recebimento Crediario,"R$ 152,00",Recebimento Crediario,"R$ 165,00",Debito Sicoob,"R$ 40,00",Pix Sicoob,"R$ 130,00",Recebimento Crediario,"R$ 225,00",Pix Sicoob,"R$ 94,00",Recebimento Crediario,"R$ 102,50",Recebimento Crediario,"R$ 80,99",Crédito Av  Sicoob,"R$ 157,50",Debito Sicoob,"R$ 150,49",Recebimento Crediario,"R$ 509,98",Parcelado 2 a 4 Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 70,00",Recebimento Crediario,"R$ 63,00",Pix Sicoob,"R$ 324,00",Débito Sicredi,
"R$ 500,00",Recebimento Crediario,"R$ 118,68",Recebimento Crediario,"R$ 300,00",Recebimento Crediario,"R$ 45,00",Pix Sicoob,"R$ 70,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 90,00",Recebimento Crediario,"R$ 80,00",Recebimento Crediario,"R$ 197,99",Debito Sicoob,"R$ 279,98",Parcelado 2 a 4 Sicoob,"R$ 420,00",Dinheiro,"R$ 156,00",Parcelado 5 a 6 Sicoob,"R$ 252,00",Pix Sicredi,"R$ 301,50",Pix Sicredi,"R$ 50,00",Crédito Av  Sicoob,"R$ 182,00",Parcelado 2 a 4 Sicoob,"R$ 71,99",Crédito Av  Sicoob,"R$ 80,00",Recebimento Crediario,"R$ 224,99",Pix Sicredi,"R$ 189,00",Dinheiro,"R$ 90,00",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,
"R$ 110,00",Recebimento Crediario,"R$ 35,70",Recebimento Crediario,"R$ 100,00",Pix Sicoob,"R$ 143,99",Débito Sicredi,"R$ 335,89",Parcelado 2 a 3 Bonus Cred,"R$ 269,97",Parcelado 5 a 6 Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 200,00",Recebimento Crediario,"R$ 126,00",Dinheiro,"R$ 150,00",Crédito Av  Sicoob,"R$ 217,50",BonusCred,"R$ 45,00",Recebimento Crediario,"R$ 238,50",Crédito Av  Sicoob,"R$ 25,00",Dinheiro,"R$ 89,99",Pix Sicredi,"R$ 477,00",Pix Sicredi,"R$ 189,99",BonusCred,"R$ 54,99",Pix Sicredi,"R$ 379,97",Parcelado 5 a 6 Sicoob,"R$ 129,99",Recebimento Crediario,"R$ 62,50",Recebimento Crediario,
"R$ 256,00",Recebimento Crediario,"R$ 215,00",Crédito Av  Sicoob,"R$ 100,00",Recebimento Crediario,"R$ 300,00",Recebimento Crediario,"R$ 134,99",Crédito Av  Sicoob,"R$ 242,98",Crédito Av  Sicoob,"R$ 82,50",Recebimento Crediario,"R$ 170,00",Recebimento Crediario,"R$ 98,75",Recebimento Crediario,"R$ 68,29",Recebimento Crediario,"R$ 64,00",Recebimento Crediario,"R$ 225,00",Pix Sicoob,"R$ 143,99",Crédito Av  Sicoob,"R$ 227,50",Pix Sicredi,"R$ 38,50",Recebimento Crediario,"R$ 170,99",Pix Sicredi,"R$ 197,99",Pix Sicoob,"R$ 50,00",Recebimento Crediario,"R$ 129,99",Crediário,"R$ 297,00",Pix Sicredi,"R$ 58,50",Recebimento Crediario,"R$ 269,99",Parcelado 2 a 4 Sicredi,
"R$ 100,00",Recebimento Crediario,"R$ 58,50",Recebimento Crediario,"R$ 126,50",Recebimento Crediario,"R$ 369,98",Recebimento Crediario,"R$ 248,32",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,"R$ 200,00",Recebimento Crediario,"R$ 219,99",Crediário,"R$ 278,98",Debito Sicoob,"R$ 18,80",Recebimento Crediario,"R$ 185,00",Recebimento Crediario,"R$ 182,00",Parcelado 2 a 4 Sicoob,"R$ 175,85",Recebimento Crediario,"R$ 123,00",Pix Sicredi,"R$ 116,99",Debito Sicoob,"R$ 659,97",Crediário,"R$ 89,99",Pix Sicoob,"R$ 233,99",Crédito Av  Sicoob,"R$ 89,99",Crediário,"R$ 60,00",Recebimento Crediario,"R$ 81,00",Pix Sicredi,"R$ 339,99",Parcelado 5 a 6 Sicredi,
"R$ 150,00",Recebimento Crediario,"R$ 103,00",Dinheiro,"R$ 288,00",Pix Sicoob,"R$ 135,00",Recebimento Crediario,"R$ 80,99",Crédito Av Sicredi,"R$ 179,98",Crediário,"R$ 250,00",Recebimento Crediario,"R$ 85,00",Recebimento Crediario,"R$ 72,00",Dinheiro,"R$ 239,98",Crediário,"R$ 153,74",Recebimento Crediario,"R$ 209,99",Parcelado 2 a 4 Sicoob,"R$ 200,00",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,"R$ 170,99",Pix Sicoob,"R$ 63,45",Recebimento Crediario,"R$ 170,00",Crédito Av  Sicoob,"R$ 135,00",Crédito Av  Sicoob,"R$ 139,99",BonusCred,"R$ 89,99",Crediário,"R$ 100,00",Recebimento Crediario,"R$ 170,99",Débito Sicredi,
"R$ 157,50",Recebimento Crediario,"R$ 125,99",Débito Sicredi,"R$ 60,00",Recebimento Crediario,"R$ 37,50",Recebimento Crediario,"R$ 323,96",Crédito Av  Sicoob,"R$ 500,00",Crediário,"R$ 364,99",Parcelado 2 a 4 Sicoob,"R$ 79,99",Crediário,"R$ 149,99",Crediário,"R$ 399,98",Parcelado 2 a 4 Sicoob,"R$ 209,99",Parcelado 5 a 6 Sicoob,"R$ 61,00",Recebimento Crediario,"R$ 100,00",Recebimento Crediario,"R$ 40,00",Recebimento Crediario,"R$ 129,99",Parcelado 5 a 6 Sicoob,"R$ 110,00",Recebimento Crediario,"R$ 100,00",Debito Sicoob,"R$ 115,00",Recebimento Crediario,"R$ 178,00",Recebimento Crediario,"R$ 85,50",Crédito Av  Sicoob,"R$ 80,99",Pix Sicredi,"R$ 110,69",Débito Sicredi,
